,Sl. No.,Depot,Route No.,From,To,Route Length,Type,No.of Service,Departure Timings,Fare
323,324,NGP,326UD,NAGAPATTINAM,CHENNAI,353,ULTRA,8,"07.00,08.30,09.15,09.45,11.30, 20.00,21.45,22.00",352
324,325,TNVA,529EU,NAGAPATTINAM,TIRUNELVELI,418,ULTRA,1,19,631
325,326,NGL,887UD,NAGERCOIL,BANGALORE,700,ULTRA,2,"16.30,19.30",325
326,327,NGL,198AC,NAGERCOIL,CHENNAI,698,A/C,1,18,391
327,328,NGL,198UD,NAGERCOIL,CHENNAI,698,ULTRA,16,"14.15,15.00,15.45,16.30,16.40, 17.00,17.16,17.30,17.45,18.00, 18.15,19.00,19.30,20.00,20.45, 21.15 ",865
328,329,NGL,664TU,NAGERCOIL,COIMBATORE,367,ULTRA,2,"19.15,21.15",955
329,330,NGL,664UD,NAGERCOIL,OOTY,558,ULTRA,3,"18.45,20.15,20.45",527
330,331,NGL,531UD,NAGERCOIL,PUDUCHERRY,625,ULTRA,1,17,397
331,332,NGL,995UD,NAGERCOIL,TIRUPATHI,761,ULTRA,1,12.45,815
332,333,NGL,125BU,NAGERCOIL,TRICHY(BHEL),384,ULTRA,1,22,290
333,334,NGL,564EU,NAGERCOIL,VELANKANNI,481,ULTRA,1,19.15,709
334,335,PDY,146UD,NAKUDI,CHENNAI,429,ULTRA,1,19.3,179
335,336,CA,425AC,NAMAKKAL,CHENNAI,396,A/C,1,21.15,521
336,337,MDU,135UD,NATHAM,CHENNAI,423,ULTRA,1,20,129
337,338,CB,468TU,OOTY,CHENNAI,601,ULTRA,1,17.45,165
338,339,CB,468UD,OOTY,CHENNAI,562,ULTRA,1,18.3,323
339,340,KKD,663UD,OOTY,KANYAKUMARI,718,ULTRA,2,"15.00,17.30",806
340,341,KKD,664KU,OOTY,KANYAKUMARI,578,ULTRA,1,16.3,478
341,342,MAR,664MU,OOTY,MARTHANDAM,588,ULTRA,1,15.15,439
342,343,NGL,664UD,OOTY,NAGERCOIL,558,ULTRA,3,"16.00,16.45,17.00",146
343,344,TNVA,666UD,OOTY,PAPANASAM-TNV,439,ULTRA,1,18.45,450
344,345,TRY,725UD,OOTY,TRICHY,315,ULTRA,1,7.3,274
345,346,TVM,783UD,OOTY,TRIVANDRUM,626,ULTRA,1,15,862
346,347,TCN,174UD,OPPILAN,CHENNAI,565,ULTRA,1,17,256
347,348,DGL,879TU,PALANI,BANGALORE,420,ULTRA,1,20,484
348,349,MDU,879UD,PALANI,BANGALORE,410,ULTRA,1,19.3,667
349,350,DGL,463UD,PALANI,CHENNAI,486,ULTRA,1,19,826
350,351,CB,466UD,PALANI,CHENNAI,486,ULTRA,1,19.3,386
351,352,CA,433UD,PALLAPATTI,CHENNAI,417,ULTRA,1,19.3,241
352,353,TNVB,190UD,PAPANASAM-TNV,CHENNAI,670,ULTRA,3,"17.10,18.00,19.30",863
353,354,TNVA,666UD,PAPANASAM-TNV,OOTY,439,ULTRA,1,18.15,261
354,355,CA,161UD,PARAMAKUDI,CHENNAI,510,ULTRA,2,"18.00,19.00",414
355,356,CC,789UD,PATHANAMTHITTA,CHENNAI,721,ULTRA,1,14,209
356,357,CA,332UD,PATTUKOTTAI,CHENNAI,381,ULTRA,3,"07.30,21.00,21.15",539
357,358,CC,853UD,PATTUKOTTAI,TIRUPATHI,444,ULTRA,1,18.3,661
358,359,SHN,176UD,PERAIYUR,CHENNAI,514,ULTRA,1,18.3,163
359,360,DGL,163AU,PERIYAKULAM,CHENNAI,491,ULTRA,1,19.3,439
360,361,CB,156UD,PERIYAPATTINAM,CHENNAI,540,ULTRA,1,17.45,208
361,362,CBE,854UD,POLLACHI,BANGALORE,397,ULTRA,1,19.3,811
362,363,CBE,464UD,POLLACHI,CHENNAI,541,ULTRA,1,19,508
363,364,PDY,140UD,PONNAMARAVATHY,CHENNAI,425,ULTRA,2,"19.30,20.00",753
364,365,PDY,622UD,PUDUCHERRY,BANGALORE,341,ULTRA,3,"09.30,22.05,22.30",493
365,366,PDY,623UD,PUDUCHERRY,BANGALORE,365,ULTRA,1,20,200
366,367,MDU,803UD,PUDUCHERRY,CHENNAI,173,ULTRA,21,"05.00,06.00,07.15,08.15,08.40, 11.00,14.00,14.30,15.00,15.15, 15.30,15.45,16.00,16.15,16.20, 16.30,16.45,16.50,17.00,17.15, 17.30 ",556
367,368,PDY,839UD,PUDUCHERRY,COIMBATORE,404,ULTRA,1,19.45,222
368,369,PDY,841UD,PUDUCHERRY,COIMBATORE,388,ULTRA,1,21,827
369,370,PDY,842UD,PUDUCHERRY,COIMBATORE,396,ULTRA,1,21.45,873
370,371,PDY,790UD,PUDUCHERRY,ERNAKULAM,606,ULTRA,1,17,174
371,372,MDU,847UD,PUDUCHERRY,MADURAI,337,ULTRA,1,21.31,933
372,373,NGL,531UD,PUDUCHERRY,NAGERCOIL,625,ULTRA,1,17.3,770
373,374,SHN,982UD,PUDUCHERRY,SHENCOTTAH,530,ULTRA,1,19,685
374,375,PDY,847EU,PUDUCHERRY,TIRUCHENDUR,523,ULTRA,1,17.4,254
375,376,TVM,686UD,PUDUCHERRY,TRIVANDRUM,659,ULTRA,1,16.3,663
376,377,KKDI,126UD,PUDUKKOTTAI,CHENNAI,382,ULTRA,1,21.15,399
377,378,CB,126AC,PUDUKOTTAI,CHENNAI,382,A/C,1,21.45,268
378,379,TRY,338UD,PULLAMBADI,CHENNAI,332,ULTRA,1,21.3,107
379,380,MDU,886UD,RAMESWARAM,BANGALORE,602,ULTRA,1,16.3,556
380,381,CB,159UD,RAMESWARAM,CHENNAI,582,ULTRA,1,16.3,476
381,382,CB,166AC,RAMESWARAM,CHENNAI,581,A/C,1,17,475
382,383,CB,166UD,RAMESWARAM,CHENNAI,581,ULTRA,1,16,305
383,384,CBE,636UD,RAMESWARAM,COIMBATORE,402,ULTRA,1,19,168
384,385,KKD,520UD,RAMESWARAM,KANYAKUMARI,321,ULTRA,2,"07.15,19.30",844
385,386,SLM,637UD,RAMESWARAM,SALEM,429,ULTRA,1,19,806
386,387,MDU,885UD,RAMNAD,BANGALORE,579,ULTRA,1,18.3,794
387,388,CB,158UD,RAMNAD,CHENNAI,523,ULTRA,1,18.15,200
388,389,SLM,837UD,SALEM,BANGALORE,208,ULTRA,1,13,596
389,390,SLM,838TU,SALEM,BANGALORE,208,ULTRA,1,15.3,699
390,391,SLM,840UD,SALEM,BANGALORE,208,ULTRA,1,14,619
391,392,SLM,857TU,SALEM,BANGALORE,208,ULTRA,1,15.15,631
392,393,SLM,422AC,SALEM,CHENNAI,341,A/C,2,"13.00,23.00",277
393,394,SLM,422UD,SALEM,CHENNAI,341,ULTRA,20,"07.30,08.30,09.00,10.30,11.00, 11.20,12.00,12.30,14.30,15.00, 19.00,19.45,20.30,20.35,21.15, 21.45,22.15,22.30,23.00,23.15",416
394,395,SLM,729UD,SALEM,ERNAKULAM,371,ULTRA,5,"06.00,07.00,19.30,21.30,22.30",444
395,396,SLM,724UD,SALEM,GURUVAYUR,331,ULTRA,5,"09.00,10.10,18.30,20.30,23.00",814
396,397,SLM,782UD,SALEM,KOZHICODE,362,ULTRA,1,22,164
397,398,SLM,637UD,SALEM,RAMESWARAM,429,ULTRA,1,21,379
398,399,SLM,633UD,SALEM,TIRUCHENDUR,435,ULTRA,1,21.3,551
399,400,TNVA,628UD,SALEM,TIRUNELVELI,416,ULTRA,1,22,692
400,401,SLM,849UD,SALEM,TIRUPATHI,334,ULTRA,5,"09.30,20.30,21.00,21.30,22.00",160
401,402,TNVB,882UD,SANKARANKOIL,BANGALORE,590,ULTRA,1,17,307
402,403,TNVB,187UD,SANKARANKOIL,CHENNAI,577,ULTRA,2,"16.15,18.30",170
403,404,SHN,629UK,SANKARANKOIL,COIMBATORE,344,ULTRA,1,20,325
404,405,TNVA,199TU,SATTAN KULAM,CHENNAI,680,ULTRA,1,17,792
405,406,CBE,626EU,SATTAN KULAM,COIMBATORE,447,ULTRA,1,18.3,519
406,407,TCN,167UD,SAYALKUDI,CHENNAI,561,ULTRA,1,17,298
407,408,SHN,881UD,SHENCOTTAH,BANGALORE,633,ULTRA,1,17,130
408,409,SHN,184UD,SHENCOTTAH,CHENNAI,631,ULTRA,7,"14.45,15.45,17.00,18.00,18.30, 19.30,20.45",747
409,410,SHN,294UD,SHENCOTTAH,CHENNAI,631,ULTRA,1,20,224
410,411,SHN,184RU,SHENCOTTAH,CHENNAI (AVADI),649,ULTRA,1,14.15,301
411,412,SHN,629UD,SHENCOTTAH,COIMBATORE,392,ULTRA,3,"09.30,20.30,21.30",210
412,413,SHN,730UD,SHENCOTTAH,ERNAKULAM,575,ULTRA,1,15,819
413,414,SHN,646UD,SHENCOTTAH,HOSUR,591,ULTRA,1,18.3,159
414,415,SHN,784UD,SHENCOTTAH,KOZHICODE,560,ULTRA,1,14,331
415,416,SHN,982UD,SHENCOTTAH,PUDUCHERRY,530,ULTRA,1,16,489
416,417,SHN,990UD,SHENCOTTAH,TIRUPATHI,700,ULTRA,1,12,628
417,418,CC,162AC,SIVAGANGAI,CHENNAI,463,A/C,1,19.15,227
418,419,CC,162UD,SIVAGANGAI,CHENNAI,463,ULTRA,1,20,946
419,420,SHN,185UD,SIVAKASI,CHENNAI,537,ULTRA,1,18.3,762
420,421,TRY,828UD,SRIRANGAM,BANGALORE,352,ULTRA,1,20.45,943
421,422,TRY,123CL,SRIRANGAM,CHENNAI,331,ULTRA,2,"09.00,22.00",622
422,423,TRY,852UD,SRIRANGAM,TIRUPATHI,407,ULTRA,1,19.5,452
423,424,TRY,766UD,SRIRANGAM,TRIVANDRUM,447,ULTRA,1,20.3,869
424,425,SHN,186UD,SRIVILLIPUTHUR,CHENNAI,537,ULTRA,1,20,726
425,426,CC,831TU,TAMBARAM,BANGALORE,351,ULTRA,1,20.15,328
426,427,TNJ,855UD,THANJAVUR,BANGALORE,412,ULTRA,2,"19.30,20.00",703
427,428,CC,323AC,THANJAVUR,CHENNAI,391,A/C,2,"09.00 ,22.00",901
428,429,TNJ,323UD,THANJAVUR,CHENNAI,351,ULTRA,18,"05.30,06.30,07.30,08.30,09.15, 10.30,11.30,12.30,20.00,20.30, 20.45,21.00,21.15,21.30,21.55, 22.30,22.45,23.00",565
429,430,TNJ,851TU,THANJAVUR,TIRUPATHI,448,ULTRA,1,16.3,801
430,431,TNJ,851UD,THANJAVUR,TIRUPATHI,420,ULTRA,1,20,427
431,432,CC,160AC,THENI,CHENNAI,546,A/C,1,19.45,227
432,433,DGL,160UD,THENI,CHENNAI,507,ULTRA,2,"17.45,18.30",306
433,434,TNVB,194UD,THYSAYANVILAI,CHENNAI,682,ULTRA,1,16.5,802
434,435,TNVA,665UD,THYSAYANVILAI,COIMBATORE,468,ULTRA,1,18.3,554
435,436,TNVA,871UD,TIRUCHENDUR,BANGALORE,643,ULTRA,1,18,281
436,437,TCN,191UD,TIRUCHENDUR,CHENNAI,641,ULTRA,6,"15.00,15.45,16.45,17.15,18.30, 20.00",556
437,438,TCN,191TU,TIRUCHENDUR,CHENNAI (TVTR),676,ULTRA,1,16.45,507
438,439,TNVA,631UD,TIRUCHENDUR,COIMBATORE,408,ULTRA,1,21,537
439,440,TCN,743EU,TIRUCHENDUR,KOZHICODE,557,ULTRA,1,15.15,732
440,441,PDY,847EU,TIRUCHENDUR,PUDUCHERRY,523,ULTRA,1,16.4,565
441,442,SLM,633UD,TIRUCHENDUR,SALEM,435,ULTRA,1,19,139
442,443,TCN,981UD,TIRUCHENDUR,TIRUPATHI,752,ULTRA,1,13.3,918
443,444,MDU,179UD,TIRUMANGALAM,CHENNAI,483,ULTRA,1,19.3,573
444,445,KKDI,134UD,TIRUMAYAM,CHENNAI,403,ULTRA,1,20.45,268
445,446,KKM,865UD,TIRUNALLAR,BANGALORE,516,ULTRA,1,16.35,851
446,447,CB,330UD,TIRUNALLAR,CHENNAI,310,ULTRA,2,"07.45,21.45",690
447,448,TNVB,870UD,TIRUNELVELI,BANGALORE,624,ULTRA,1,18.45,304
448,449,TNVA,874UD,TIRUNELVELI,BANGALORE,624,ULTRA,3,"16.00,18.00,19.15",407
449,450,TNVB,180AC,TIRUNELVELI,CHENNAI,622,A/C,1,19,779
450,451,TNVB,180UD,TIRUNELVELI,CHENNAI,622,ULTRA,12,"15.30,16.05,16.30,17.00,17.30, 18.05,18.15,19.00,20.05,20.30, 21.00,21.30",388
451,452,TNVA,182AC,TIRUNELVELI,CHENNAI,622,A/C,1,17.3,728
452,453,TNVA,182UD,TIRUNELVELI,CHENNAI,622,ULTRA,1,16,607
453,454,TNVA,626UD,TIRUNELVELI,COIMBATORE,389,ULTRA,3,"20.00,21.00,21.55",391
454,455,TNVA,736TU,TIRUNELVELI,ERNAKULAM,328,ULTRA,2,"07.30,20.05",969
455,456,TNVA,529EU,TIRUNELVELI,NAGAPATTINAM,418,ULTRA,1,18.45,452
456,457,TNVA,628UD,TIRUNELVELI,SALEM,416,ULTRA,1,21.15,231
457,458,TNVA,983UD,TIRUNELVELI,TIRUPATHI,692,ULTRA,1,15.15,946
458,459,TNVB,984UD,TIRUNELVELI,TIRUPATHI,626,ULTRA,1,16.3,311
459,460,TNVA,143TU,TIRUNELVELI,TIRUVANMIYUR,629,ULTRA,1,17.45,406
460,461,CC,965UD,TIRUPATHI,AVUDAIARKOIL,494,ULTRA,1,20.3,199
461,462,CC,911UD,TIRUPATHI,CHENNAI,160,ULTRA,4,"06.00,07.00,15.30,16.00",846
462,463,CBE,962UD,TIRUPATHI,COIMBATORE,503,ULTRA,3,"18.30,19.30,20.45",718
463,464,KKDI,969UD,TIRUPATHI,KARAIKUDI,526,ULTRA,1,21,132
464,465,SLM,856UD,TIRUPATHI,KARUR,437,ULTRA,1,21.15,793
465,466,KKM,851KU,TIRUPATHI,KUMBAKONAM,392,ULTRA,2,"07.00,18.40",527
466,467,MDU,966TU,TIRUPATHI,MADURAI,522,ULTRA,1,19.45,832
467,468,MDU,966UD,TIRUPATHI,MADURAI,529,ULTRA,2,"19.11,20.00",654
468,469,NGL,995UD,TIRUPATHI,NAGERCOIL,761,ULTRA,1,14.3,328
469,470,CC,853UD,TIRUPATHI,PATTUKOTTAI,444,ULTRA,1,21.15,221
470,471,SLM,849UD,TIRUPATHI,SALEM,334,ULTRA,5,"06.30,08.30,09.30,10.00,22.00",950
471,472,SHN,990UD,TIRUPATHI,SHENCOTTAH,700,ULTRA,1,15.3,513
472,473,TRY,852UD,TIRUPATHI,SRIRANGAM,407,ULTRA,1,7.3,889
473,474,TNJ,851TU,TIRUPATHI,THANJAVUR,448,ULTRA,1,20.3,305
474,475,TNJ,851UD,TIRUPATHI,THANJAVUR,420,ULTRA,1,19.45,178
475,476,TCN,981UD,TIRUPATHI,TIRUCHENDUR,752,ULTRA,1,17,866
476,477,TNVA,983UD,TIRUPATHI,TIRUNELVELI,692,ULTRA,1,17.3,395
477,478,TNVB,984UD,TIRUPATHI,TIRUNELVELI,626,ULTRA,1,18.3,180
478,479,SLM,835TU,TIRUPATHI,TIRUPPUR,460,ULTRA,1,20.16,179
479,480,MDU,970UD,TIRUPATHI,TIRUTHANGAL,602,ULTRA,1,18,814
480,481,TRY,850UD,TIRUPATHI,TRICHY,407,ULTRA,5,"05.30,08.45,09.30,18.30,21.45",185
481,482,KKDI,138UD,TIRUPATHURRMD,CHENNAI,437,ULTRA,1,19.3,501
482,483,CB,470AC,TIRUPPUR,CHENNAI,467,A/C,1,21,352
483,484,CB,470UD,TIRUPPUR,CHENNAI,467,ULTRA,2,"20.30,21.45",259
484,485,MAR,669UD,TIRUPPUR,MARTHANDAM,451,ULTRA,1,21.3,364
485,486,SLM,835TU,TIRUPPUR,TIRUPATHI,460,ULTRA,1,18.3,885
486,487,MDU,970UD,TIRUTHANGAL,TIRUPATHI,602,ULTRA,1,18.15,472
487,488,CA,340UD,TIRUTHURAIPOOND,CHENNAI,356,ULTRA,2,"08.30,20.30",993
488,489,TNVA,143TU,TIRUVANMIYUR,TIRUNELVELI,629,ULTRA,1,19,633
489,490,CA,325AC,TIRUVARUR,CHENNAI,327,A/C,2,"08.15,21.30",285
490,491,TRY,827UD,TRICHY,BANGALORE,352,ULTRA,17,"07.00,08.00,09.00,09.30,10.00, 11.00,11.30,12.00,13.00,13.30, 20.00,21.00,21.30,22.00,22.15, 22.45,23.00",802
491,492,TRY,123AC,TRICHY,CHENNAI,331,A/C,4,"13.00,14.00,22.30,23.00",784
492,493,TRY,123UD,TRICHY,CHENNAI,331,ULTRA,29,"06.00,07.00,08.00,09.00,09.15, 09.30,09.45,10.00,10.15,10.30, 11.55,12.30,13.00,13.30,14.00, 14.30,15.00,16.00,18.00,20.00, 21.00,21.25,21.45,22.00,22.15, 22.30,22.45,23.00,23.15",659
493,494,TRY,780UD,TRICHY,KOTTARAKARA,369,ULTRA,2,"08.45,20.45",102
494,495,TRY,725UD,TRICHY,OOTY,315,ULTRA,1,22.15,852
495,496,TRY,850UD,TRICHY,TIRUPATHI,407,ULTRA,5,"08.00,09.00,19.00,20.30,21.30",697
496,497,TRY,767UD,TRICHY,TRIVANDRUM,437,ULTRA,3,"09.30,19.30,22.30",847
497,498,TRY,123UD,TRICHY (SRR),CHENNAI,331,ULTRA,1,21.01,226
498,499,NGL,125BU,TRICHY(BHEL),NAGERCOIL,384,ULTRA,1,20,814
499,500,TRY,827BU,TRICHY-BHEL,BANGALORE,369,ULTRA,1,20,272
500,501,TRY,827UD,TRICHY-BHEL,BANGALORE,352,ULTRA,1,6,908
501,502,CC,787UD,TRISSUR,CHENNAI,629,ULTRA,1,16.3,738
502,503,TVM,687UD,TRIVANDRUM,BANGALORE,770,ULTRA,1,15,365
503,504,TVM,794UD,TRIVANDRUM,CHENNAI,768,ULTRA,11,"10.30,11.30,12.30,13.45,14.45, 15.45,16.30,17.15,18.15,19.30, 20.00 ",734
504,505,SLM,796UD,TRIVANDRUM,KARUR,459,ULTRA,1,19.15,832
505,506,TVM,783UD,TRIVANDRUM,OOTY,626,ULTRA,1,15.45,929
506,507,TVM,686UD,TRIVANDRUM,PUDUCHERRY,659,ULTRA,1,13.15,788
507,508,TRY,766UD,TRIVANDRUM,SRIRANGAM,447,ULTRA,1,20.3,868
508,509,TRY,767UD,TRIVANDRUM,TRICHY,437,ULTRA,3,"08.00,21.30,22.30",736
509,510,TVM,771EU,TRIVANDRUM,VELANKANNI,564,ULTRA,1,17.3,702
510,511,TVM,771UD,TRIVANDRUM,VELANKANNI,579,ULTRA,1,15.45,559
511,512,TVM,795UD,TRIVANDRUM,VELLORE,740,ULTRA,1,15.15,892
512,513,TCN,872UD,TUTICORIN,BANGALORE,603,ULTRA,1,18,362
513,514,TCN,702UD,TUTICORIN,CHENGANACHERRY,265,ULTRA,2,"08.30,20.00",483
514,515,TCN,166TU,TUTICORIN,CHENNAI,690,ULTRA,1,14.45,292
515,516,TCN,170AC,TUTICORIN,CHENNAI,601,A/C,1,19,619
516,517,TCN,170UD,TUTICORIN,CHENNAI,601,ULTRA,8,"15.30,16.00,18.00,19.30,20.15, 20.45,21.45,22.15",795
517,518,TCN,171UD,TUTICORIN,CHENNAI,606,ULTRA,2,"18.00,19.15",397
518,519,TCN,625UD,TUTICORIN,COIMBATORE,370,ULTRA,1,21.3,766
519,520,TCN,736UD,TUTICORIN,ERNAKULAM,381,ULTRA,2,"07.30,19.00",218
520,521,TCN,739UD,TUTICORIN,GURUVAYUR,450,ULTRA,1,17,172
521,522,TCN,527UD,TUTICORIN,VELANKANNI,412,ULTRA,1,19,233
522,523,TCN,168UD,TUTICORIN,VELLORE,566,ULTRA,1,16,800
523,524,CBE,632UD,UDANKUDI,COIMBATORE,428,ULTRA,1,17.2,353
524,525,TNVA,624UD,UDANKUDI,ERODE,456,ULTRA,1,17.15,747
525,526,CB,469UD,UDUMALPET,CHENNAI,522,ULTRA,1,19.3,722
526,527,MDU,157UD,USILAMPATTI,CHENNAI,505,ULTRA,2,"18.00,19.00",362
527,528,NGP,335UD,VEDARANYAM,CHENNAI,374,ULTRA,6,"07.45,08.15,09.00,20.15,20.45, 21.15",130
528,529,DGL,151UD,VEDASANDUR,CHENNAI,446,ULTRA,1,19.3,106
529,530,NGP,864UD,VELANKANNI,BANGALORE,514,ULTRA,4,"17.15,18.05,19.00,19.45",274
530,531,NGP,324AC,VELANKANNI,CHENNAI,338,A/C,2,"11.00,22.00",878
531,532,NGP,324UD,VELANKANNI,CHENNAI,338,ULTRA,18,"05.00,06.00,07.30,08.45,09.30, 10.00,10.15,10.30,11.00,12.30, 19.30,20.00,20.30,20.45,21.00, 21.15,21.30,22.15",592
532,533,PDY,324TU,VELANKANNI,CHENNAI (TVTR),360,ULTRA,1,20,935
533,534,CBE,724UD,VELANKANNI,COIMBATORE,384,ULTRA,1,20,619
534,535,NGP,770UD,VELANKANNI,ERNAKULAM,586,ULTRA,1,16.3,589
535,536,KKD,561UD,VELANKANNI,KANYAKUMARI,529,ULTRA,1,20,262
536,537,SHN,777UD,VELANKANNI,KOLLAM,541,ULTRA,1,16.15,610
537,538,MAR,560CU,VELANKANNI,MARTHANDAM,557,ULTRA,1,17.3,226
538,539,MAR,560EU,VELANKANNI,MARTHANDAM,524,ULTRA,2,"17.00,18.00",422
539,540,NGL,564EU,VELANKANNI,NAGERCOIL,481,ULTRA,1,18.45,498
540,541,TVM,771EU,VELANKANNI,TRIVANDRUM,564,ULTRA,1,16.35,610
541,542,TVM,771UD,VELANKANNI,TRIVANDRUM,579,ULTRA,1,16,289
542,543,TCN,527UD,VELANKANNI,TUTICORIN,412,ULTRA,1,21,451
543,544,KKD,283UD,VELLORE,KANYAKUMARI,684,ULTRA,2,"15.00,18.00",673
544,545,MAR,297UD,VELLORE,MARTHANDAM,700,ULTRA,1,17,154
545,546,TVM,795UD,VELLORE,TRIVANDRUM,740,ULTRA,1,16,675
546,547,TCN,168UD,VELLORE,TUTICORIN,566,ULTRA,1,18.45,369
547,548,CBE,460VU,VILLUPURAM,COIMBATORE,348,ULTRA,2,"08.30 ,21.30",607
548,549,MAR,143UD,VILLUPURAM,MARTHANDAM,566,ULTRA,1,20,282
