,Sl. No.,Depot,Route No.,From,To,Route Length,Type,No.of Service,Departure Timings,Fare
124,125,PDY,803UD,CHENNAI,PUDUCHERRY,173,ULTRA,20,"04.00,04.30,05.00,05.15,05.30, 05.45,06.00,06.05,06.15,06.20, 06.30,06.45,07.00,07.30,08.30, 13.00,13.45,14.00,14.45,17.00",260
125,126,KKDI,126UD,CHENNAI,PUDUKKOTTAI,382,ULTRA,1,21.15,663
126,127,CB,126AC,CHENNAI,PUDUKOTTAI,382,A/C,1,22,200
127,128,TRY,338UD,CHENNAI,PULLAMBADI,332,ULTRA,1,22,870
128,129,CB,159UD,CHENNAI,RAMESWARAM,582,ULTRA,1,17,131
129,130,CB,166AC,CHENNAI,RAMESWARAM,581,A/C,1,18.3,341
130,131,CB,166UD,CHENNAI,RAMESWARAM,581,ULTRA,1,17.45,604
131,132,CB,158UD,CHENNAI,RAMNAD,523,ULTRA,1,16,549
132,133,SLM,422AC,CHENNAI,SALEM,341,A/C,2,"13.00,23.00",972
133,134,SLM,422UD,CHENNAI,SALEM,341,ULTRA,20,"05.00,06.30,08.00,08.45,09.30, 10.20,10.50,11.15,12.00,12.30, 20.00,20.35,21.00,21.35,22.00, 22.10,22.35,23.00,23.30 ,23.45",821
134,135,TNVB,187UD,CHENNAI,SANKARANKOIL,577,ULTRA,2,"17.00,19.00",472
135,136,TNVA,199TU,CHENNAI,SATTAN KULAM,680,ULTRA,1,18,747
136,137,TCN,167UD,CHENNAI,SAYALKUDI,561,ULTRA,1,18.3,244
137,138,SHN,184UD,CHENNAI,SHENCOTTAH,631,ULTRA,9,"16.30,17.30,18.00,18.30,19.15, 19.45, 20.00,20.30,21.00,",785
138,139,CC,162AC,CHENNAI,SIVAGANGAI,463,A/C,1,21.15,689
139,140,CC,162UD,CHENNAI,SIVAGANGAI,463,ULTRA,1,19.45,398
140,141,SHN,185UD,CHENNAI,SIVAKASI,537,ULTRA,1,18.5,206
141,142,TRY,123CL,CHENNAI,SRIRANGAM,331,ULTRA,2,"09.00,22.00",424
142,143,SHN,186UD,CHENNAI,SRIVILLIPUTHUR,537,ULTRA,1,19.3,998
143,144,CC,323AC,CHENNAI,THANJAVUR,391,A/C,2,"11.30,22.00",288
144,145,TNJ,323UD,CHENNAI,THANJAVUR,351,ULTRA,18,"05.30,08.15,09.00,10.00,12.45, 13.30,14.15,17.30,20.00,20.15, 20.30,21.15 ,21.30,21.45,22.00 , 22.15,22.30,23.30",874
145,146,CC,160AC,CHENNAI,THENI,546,A/C,1,21.15,642
146,147,DGL,160UD,CHENNAI,THENI,507,ULTRA,2,"17.00,19.15",612
147,148,TNVB,194UD,CHENNAI,THYSAYANVILAI,682,ULTRA,1,17.25,137
